sephora_id,order_number,atg_order_number,purchase_date,product_sk,sku_number,store_number,discount_amount,transaction_type,currency_code,void_flag,dotcom_guest_flag,brand_name,sample_sku_code,csr_id,standard_sample_flag,total_sales_local_amount,gross_units,product_category,merch_code,country_origin,mplus_flag,transaction_number,transaction_sequence_number,shipped_date,department_number,department_name,hazmat_flag,gift_flag,dt,release_date,received_date,purchase_year,purchase_month,channel_type
1004201483,087030044600000003666000002,null,2020-10-26,40977351,2311686,280,0,S,US,N,null,MILK MAKE UP,BI,null,null,0,1,,,null,,36660,1,2020-10-26,97,Unclassified,null,null,2020-10-28-161844,null,null,2020,10,US STORE
null,086840291700000000170400001,,2020-10-07,205110,1410950,1328,0,S,US,N,null,SYSTEM USE,OT,null,null,0.05,1,SPECIAL PRODUCTS,,,,1704,2,2020-10-07,96,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1004201483,087030044600000003666000002,null,2020-10-26,40977185,2309417,280,0,S,US,N,null,CHARLOTTE TILBURY,,null,null,22,1,Lip Liner,,null,,36660,3,2020-10-26,10,Makeup,null,null,2020-10-28-161844,null,null,2020,10,US STORE
null,086850043600000000782000061,,2020-10-08,40924866,1788397,254,0,S,US,N,null,FRESH,,null,null,42,1,Moisturizers,,,,7820,1,2020-10-08,15,Skincare,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1025617744,087010241200000001248500061,null,2020-10-24,40985347,2390219,794,0,S,US,N,null,OLAPLEX,,null,null,60,1,Value & Gift Sets,,null,,12485,1,2020-10-24,16,Hair,null,null,2020-10-26-155518,null,null,2020,10,US STORE
null,086850049000000003653100001,,2020-10-08,40975616,2294155,340,0,S,US,N,null,VIVABOXES,,null,null,0,1,,,,,36531,2,2020-10-08,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40954573,2084432,82,0,S,US,N,null,TOO FACED,,null,null,30,1,Concealer,,,,91125,5,2020-10-02,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850049000000003653100001,,2020-10-08,200036,1361930,340,-96,S,US,N,null,PRADA,,null,null,0,1,Perfume,,,,36531,1,2020-10-08,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40971266,2250520,82,0,S,US,N,null,LAURA MERCIER,,null,null,23,1,Makeup,,,,91125,2,2020-10-02,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850050600000002276100004,,2020-10-08,165715,972646,356,0,S,US,N,null,"VERSACE, GIANNI",,null,null,85,1,Cologne,,,,22761,2,2020-10-08,30,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40936212,1900703,82,0,S,US,N,null,URBAN DECAY,,null,null,15,1,Makeup,,,,91125,4,2020-10-02,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850050600000002276100004,,2020-10-08,40938023,1918911,356,0,S,US,N,null,PRADA,,null,null,94,1,Cologne,,,,22761,1,2020-10-08,30,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40977351,2311686,82,0,S,US,N,null,MILK MAKE UP,BI,null,null,0,1,,,,,91125,6,2020-10-02,97,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850050600000002276100004,,2020-10-08,165715,972646,356,0,S,US,N,null,"VERSACE, GIANNI",,null,null,85,1,Cologne,,,,22761,3,2020-10-08,30,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40938645,1925338,82,0,S,US,N,null,FENTY,,null,null,35,1,Foundation,,,,91125,1,2020-10-02,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850053800000008923100003,,2020-10-08,135777,621284,410,0,S,US,N,null,PROFUSION,OT,null,null,75,1,,GC,,,89231,1,2020-10-08,96,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1016967326,086790063000000009112500001,,2020-10-02,40965220,2191252,82,0,S,US,N,null,MILK MAKE UP,,null,null,15,1,Mini Size,,,,91125,3,2020-10-02,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086850063100000008941300004,,2020-10-08,40983405,2370401,416,-10,S,US,N,null,VALENTINO,,null,null,90,1,Perfume,,,,89413,2,2020-10-08,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1008756362,086930036800000000057700004,null,2020-10-16,40963365,2172617,30,0,S,US,N,null,PEACE OUT,,null,null,28,1,Face Serums,,null,,577,2,2020-10-16,15,Skincare,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086850063100000008941300004,,2020-10-08,40903851,1602259,416,-13,S,US,N,null,MAISON MARGIELA,,null,null,117,1,Cologne,,,,89413,1,2020-10-08,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1008756362,086930036800000000057700004,null,2020-10-16,40942532,1962141,30,0,S,US,N,null,PEACE OUT,,null,null,19,1,Blemish & Acne Treatments,,null,,577,1,2020-10-16,15,Skincare,null,null,2020-10-18-155241,null,null,2020,10,US STORE
null,086850063100000008941300004,,2020-10-08,40924832,1788058,416,-13,S,US,N,null,MAISON MARGIELA,,null,null,117,1,Perfume,,,,89413,3,2020-10-08,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1008756362,086930036800000000057700004,null,2020-10-16,40948893,2026391,30,0,S,US,N,null,PEACE OUT,,null,null,19,1,Blemish & Acne Treatments,,null,,577,3,2020-10-16,15,Skincare,null,null,2020-10-18-155241,null,null,2020,10,US STORE
